TeamNM,Date,Opponent,Result,Cumulative Wins,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_TOP_Converted,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame,Defense_Fumbles Recovered,Defense_Int,Defense_Blkd,Turnover Margin_Fumbles Recovered,Turnover Margin_FumblesLost,Turnover Margin_Int,Turnover Margin_Interceptions
Arizona,11/18/2023,Utah,W 42-18,8,33,25,0,325,4.0,198.48,25.0,13.0,0.758,325.0,24,118,130,12,4.92,1.0,118.0,25,25,325,25.0,13.0,4.0,325.0,51,443,7.77,11,0,7,24:26,24.43,57,443,7.77,6,14,1.0,5,5.0,22,22.0,0.0,36.0,325,2.0,0,4.0,0,483,0.0,52,6.0,6.0,6.0,0,0,0,0.0,0,0,0,0,0,42.0,3.0,0,28,3.0,37,44,6.0,2.0,42,81,36.0,6.0,2.0,0,8.0,0,0.0,0,0,0,2.0,1,0,2.0,3,131,43.7,1.0,50,111,1.0,1,4.0,7,455,7.0,0,0,0,280,0.0,2.0,3.0,14.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,2.0,1.0,0,0,2.0,0
Arizona,11/25/2023,@ Arizona St.,W 59-23,9,41,30,1.0,527,5.0,216.51,30.0,17.567,0.732,527.0,25,92,103,11,3.68,3.0,92.0,24,30,527,30.0,17.57,5.0,527.0,57,619,9.38,11,0,8,30:03,30.05,66,619,9.38,3,21,0,6,6.0,65,65.0,0.0,40.0,527,2.0,0,12.0,5.0,676,0.0,59,8.0,8.0,8.0,0,0,0,0.0,0,0,0,1.0,0,59.0,2.0,0,11,2.0,39,28,7.0,0,32,67,40.0,3.0,2.0,0,5.0,1,0.0,0,0,1.0,2.0,0,35.0,0,1,58,58.0,0,58,22,1.0,0,12.0,10,622,7.0,1.0,0,5.0,420,0.0,6.0,7.0,38.0,2.0,3.0,1.0,1.0,0,1.0,0,0,0,1,2.0,0,1,0,2.0,1.0
Arizona,12/28/2023,"Oklahoma @San Antonio, TX",W 38-24,10,38,24,1.0,354,2.0,153.52,24.0,14.75,0.632,354.0,26,29,84,55,1.12,1.0,29.0,19,24,354,24.0,14.75,2.0,354.0,57,383,5.98,15,0,6,31:25,31.42,64,383,5.98,4,12,1.0,4,4.0,40,40.0,0.0,12.0,354,3.0,91.0,0,19.0,505,0.0,54,4.0,3.0,3.0,0,0,1.0,1.0,1,0,0,3.0,0,38.0,3.0,0,25,3.0,41,34,4.0,2.0,28,75,12.0,4.0,3.0,0,7.0,3,0.0,1.0,91.0,3.0,3.0,0,39.0,2.0,6,267,44.5,1.0,57,249,0,0,0,8,520,7.0,1.0,0,19.0,345,0.0,3.0,3.0,13.0,1.0,0,2.0,2.0,0,0,0,0,0,3,3.0,0,3,0,3.0,1.0
Arizona St,08/31/2023,Southern Utah,W 24-21,1,31,18,0,236,2.0,143.3,18.0,13.111,0.581,236.0,34,135,147,12,3.97,1.0,135.0,17,18,236,18.0,13.11,2.0,236.0,47,371,5.71,13,1,4,29:12,29.2,65,371,5.71,8,8,2,9,9.0,100,100.0,0.0,0.0,236,0.0,0,0,100.0,471,0.0,55,3.0,3.0,3.0,0,0,0,0.0,0,0,0,1.0,0,24.0,0,0,0,0,27,28,2.0,2.0,5,55,0.0,3,0.0,0,3.0,1.0,0.0,0,0,1.0,1.0,0,38.0,0,6,200,33.3,0,46,202,1.0,0,0,5,254,1.0,2.0,0,100.0,180,0.0,3.0,3.0,17.0,1,1.0,1.0,1.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
Arizona St,09/09/2023,Oklahoma St.,L 15-27,1,29,16,1,167,1.0,108.03,16.0,10.438,0.552,167.0,34,110,126,16,3.24,1.0,110.0,17,16,167,16.0,10.44,1.0,167.0,65,277,4.4,15,5,6,28:43,28.72,63,277,4.4,10,4,1,4,4.0,30,30.0,0.0,0.0,167,0.0,0,0,22.0,299,0.0,51,2.0,1.0,1.0,1,1,0,0.0,0,0,0,0,0,15.0,2.0,2.0,15.0,3.0,29,34,4.0,4.0,20,63,0.0,2,0.0,0,2.0,0,0.0,0,0,0,0,0,0,1.0,4,148,37.0,0,44,135,0,0,0,3,195,3.0,1.0,0,22.0,120,0.0,1.0,1.0,7.0,1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1
Arizona St,09/16/2023,Fresno St.,L 0-29,1,37,17,5,188,0,61.6,17.0,11.059,0.459,188.0,27,42,73,31,1.56,0,42.0,11,17,188,17.0,11.06,0,188.0,31,230,3.59,14,1,5,22:54,22.9,64,230,3.59,3,10,2,2,2.0,30,30.0,0.0,0.0,188,0.0,0,7.0,102.0,339,0.0,50,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,2.0,67.0,6.0,51,30,7.0,2.0,75,81,0.0,3,0.0,0,3.0,0,0.0,0,0,0,0,0,0,0,3,124,41.3,0,50,112,1.0,0,7.0,1,65,1.0,5.0,0,102.0,40,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,1.0,0,0,0,0.0,0,0,3,0.0,5
Arizona St,09/23/2023,Southern California,L 28-42,1,39,23,1,263,2.0,127.42,23.0,11.435,0.59,263.0,32,90,136,46,2.81,1.0,90.0,18,23,263,23.0,11.43,2.0,263.0,52,353,4.97,16,4,6,31:48,31.8,71,353,4.97,8,11,2,4,4.0,26,26.0,0.0,0.0,263,0.0,0,0,83.0,436,0.0,58,3.0,2.0,2.0,1,1,0,0.0,0,0,0,2.0,0,28.0,2.0,0,14.0,2.0,32,22,4.0,0,20,54,0.0,3,0.0,0,3.0,1.0,0.0,0,0,2.0,2.0,0,35.0,1.0,3,115,38.3,0,53,115,0,0,0,5,325,2.0,3.0,0,83.0,229,0.0,3.0,3.0,13.0,1,0,2.0,2.0,0,0,0,0,0,1.0,0.0,0,1.0,1,0.0,1
Arizona St,09/30/2023,@ California,L 21-24,1,43,27,1,362,0,128.86,27.0,13.407,0.628,362.0,29,77,82,5,2.66,2.0,77.0,15,27,362,27.0,13.41,0,362.0,66,439,6.1,14,5,3,30:18,30.3,72,439,6.1,3,13,1,4,4.0,30,30.0,0.0,0.0,362,0.0,0,32.0,128.0,599,0.0,63,2.0,1.0,1.0,0,0,1.0,1.0,1.0,0,0,2.0,0,21.0,2.0,0,22.0,2.0,25,52,5.0,6.0,32,77,0.0,3,0.0,0,3.0,0,0.0,0,0,2.0,2.0,0,29.0,0,4,145,36.3,0,40,145,3.0,0,32.0,5,316,1.0,4.0,0,128.0,277,0.0,4.0,4.0,21.0,2,0,2.0,2.0,0,0,0,0,0,0,0.0,0,0,1,0.0,1
Arizona St,10/07/2023,Colorado,L 24-27,1,50,32,0,335,1.0,126.88,32.0,10.469,0.64,335.0,29,57,96,39,1.97,2.0,57.0,12,32,335,32.0,10.47,1.0,335.0,30,392,4.96,17,3,6,34:48,34.8,79,392,4.96,7,16,2,9,9.0,88,88.0,0.0,0.0,335,0.0,0,15.0,42.0,449,0.0,66,3.0,3.0,3.0,0,0,0,0.0,0,0,0,1.0,0,24.0,3.0,4.0,48.0,5.0,38,28,4.0,10.0,56,66,0.0,7,0.0,0,7.0,0,0.0,0,0,1.0,2.0,1,33.0,4.0,7,303,43.3,0,53,254,2.0,0,15.0,4,260,4.0,3.0,0,42.0,160,0.0,4.0,4.0,24.0,2,1.0,1.0,1.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
Arizona St,10/21/2023,@ Washington,L 7-15,1,47,26,1,196,0,86.09,26.0,7.538,0.553,196.0,31,145,152,7,4.68,1.0,145.0,17,26,196,26.0,7.54,0,196.0,34,341,4.37,17,6,5,37:29,37.48,78,341,4.37,10,8,2,7,7.0,71,71.0,0.0,0.0,196,2.0,0,0,16.0,357,0.0,61,1.0,1.0,1.0,0,0,0,0.0,0,0,0,0,0,7.0,0,0,0,0,38,6,4.0,2.0,15,44,0.0,4,2.0,0,6.0,2.0,0.0,0,0,0,2.0,1,0,2.0,4,155,38.8,0,49,142,0,0,0,2,124,0.0,2.0,0,16.0,82,0.0,1.0,3.0,7.0,1,0,0.0,1.0,0,1.0,0,0,0,2.0,2.0,0,2.0,0,2.0,1
Arizona St,10/28/2023,Washington St.,W 38-27,2,26,19,0,274,0,161.6,19.0,14.421,0.731,274.0,39,235,239,4,6.03,5.0,235.0,66,19,274,19.0,14.42,0,274.0,50,509,7.83,11,0,8,30:47,30.78,65,509,7.83,10,12,3,9,9.0,72,72.0,0.0,0.0,274,0.0,0,0,16.0,525,0.0,59,5.0,5.0,5.0,0,0,0,0.0,0,0,0,1.0,0,38.0,2.0,2.0,15.0,3.0,45,12,7.0,2.0,34,57,0.0,4,0.0,0,4.0,0,0.0,0,0,1.0,2.0,0,51.0,0,2,75,37.5,0,39,75,0,0,0,6,383,4.0,1.0,0,16.0,283,0.0,5.0,5.0,35.0,5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
Arizona St,11/04/2023,@ Utah,L 3-55,2,29,8,1,40,0,32.28,8.0,5.0,0.276,40.0,29,43,75,32,1.48,0,43.0,14,8,40,8.0,5.0,0,40.0,20,83,1.43,16,4,1,23:27,23.45,58,83,1.43,2,2,2,6,6.0,57,57.0,0.0,0.0,40,0.0,0,7.0,130.0,220,0.0,42,0.0,0.0,0.0,0,0,0,0.0,0,0,0,1.0,0,3.0,0,2.0,1.0,1.0,35,56,2.0,4.0,6,91,0.0,2,0.0,0,2.0,1.0,0.0,0,0,1.0,1.0,0,35.0,0,8,304,38.0,0,43,284,1.0,0,7.0,2,121,0.0,4.0,0,130.0,75,0.0,1.0,1.0,3.0,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1
Arizona St,11/11/2023,@ UCLA,W 17-7,3,39,22,1,176,1.0,97.65,22.0,8.0,0.564,176.0,30,74,125,51,2.47,1.0,74.0,17,22,176,22.0,8.0,1.0,176.0,30,250,3.62,14,2,4,36:54,36.9,69,250,3.62,8,9,4,7,7.0,46,46.0,0.0,0.0,176,0.0,3.0,3.0,0,256,0.0,53,2.0,2.0,2.0,0,0,0,0.0,0,0,0,1.0,0,17.0,2.0,2.0,28.0,3.0,36,24,2.0,2.0,28,60,0.0,6,0.0,0,6.0,1.0,0.0,0,3.0,1.0,1.0,0,29.0,0,6,242,40.3,0,50,211,1.0,0,3.0,4,258,1.0,0,0,0,189,0.0,2.0,2.0,10.0,1,0,1.0,1.0,0,0,0,0,0,1.0,0.0,0,1.0,0,0.0,1
Arizona St,11/18/2023,Oregon,L 13-49,3,47,25,1,205,0,85.57,25.0,8.2,0.532,205.0,18,111,114,3,6.17,1.0,111.0,15,25,205,25.0,8.2,0,205.0,31,316,4.86,14,5,3,27:02,27.03,65,316,4.86,7,12,1,4,4.0,37,37.0,0.0,15.0,205,2.0,0,0,44.0,375,0.0,48,1.0,1.0,1.0,0,0,0,0.0,0,0,0,2.0,0,13.0,1.0,0,8.0,1.0,39,16,3.0,2.0,17,55,15.0,2,2.0,0,4.0,0,0.0,0,0,2.0,3.0,0,38.0,0,3,119,39.7,0,45,119,0,0,0,4,260,4.0,3.0,0,44.0,160,0.0,3.0,3.0,13.0,1,0,2.0,2.0,0,0,0,0,0,0,2.0,0,0,0,2.0,1
Arizona St,11/25/2023,Arizona,L 23-59,3,23,10,2,82,1.0,70.38,10.0,8.2,0.435,82.0,42,224,251,27,5.33,2.0,224.0,39,10,82,10.0,8.2,1.0,82.0,31,306,4.71,9,2,3,29:57,29.95,65,306,4.71,14,5,3,3,3.0,30,30.0,0.0,32.0,82,1.0,0,36.0,27.0,401,0.0,57,3.0,1.0,1.0,2,2,0,0.0,0,0,0,0,0,23.0,0,0,0,0,35,22,2.0,2.0,8,57,32.0,4,1.0,0,5.0,1.0,0.0,0,0,0,0,0,0,0,4,165,41.3,0,44,153,1.0,0,36.0,4,252,3.0,3.0,0,27.0,172,0.0,2.0,2.0,15.0,2,0,0.0,0,0,0,0,0,0,0,1.0,0,0,1,1.0,2
Baylor,09/02/2023,Texas St.,L 31-42,0,44,27,1.0,416,2.0,151.24,27.0,15.407,0.614,416.0,32,108,146,38,3.38,1.0,108.0,32,27,416,27.0,15.41,2.0,416.0,53,524,6.89,18,4,8,33:48,33.8,76,524,6.89,4,16,2.0,9,9.0,45,45.0,0.0,0.0,416,0.0,0,6,145,675,0.0,66,3.0,2.0,2.0,0,0,1,1.0,1,0,0,3.0,0,31.0,1.0,0,1.0,1.0,36,22,4.0,4.0,8,58,0.0,2.0,0.0,0,2.0,2.0,0.0,0,0,3.0,4.0,0,53.0,0,2,81,40.5,0,51,74,1.0,0,6,7,452,5.0,6,0,145,276,0.0,4.0,5.0,20.0,1.0,1.0,2.0,2.0,0,1.0,0,0,0,2.0,0.0,0,2.0,1,0.0,1.0
Baylor,09/09/2023,Utah,L 13-20,0,28,12,2.0,218,0,93.97,12.0,18.167,0.429,218.0,29,121,128,7,4.17,1.0,121.0,16,12,218,12.0,18.17,0,218.0,47,339,5.95,11,0,3,23:43,23.72,57,339,5.95,6,7,1.0,5,5.0,35,35.0,0.0,3.0,218,1.0,0,0,52,394,0.0,45,1.0,1.0,1.0,0,0,0,0.0,0,0,0,2.0,0,13.0,3.0,0,8.0,3.0,42,28,5.0,2.0,12,70,3.0,7.0,1.0,0,8.0,0,0.0,0,0,2.0,3.0,0,34.0,1.0,4,186,46.5,0,51,158,0,0,0,4,260,3.0,3,0,52,161,0.0,3.0,3.0,13.0,1.0,0,2.0,2.0,0,0,0,0,0,0,1.0,0,0,0,1.0,2.0
